date,sensor,data
12-10-2018 17:00:08,P10,280
12-10-2018 17:00:08,P11,250
12-10-2018 17:00:08,P12,262
12-10-2018 17:00:16,F20,519
12-10-2018 17:10:01,F10,546
12-10-2018 17:10:08,P10,280
12-10-2018 17:10:08,P11,249
12-10-2018 17:10:08,P12,262
12-10-2018 17:10:15,F20,517
12-10-2018 17:20:01,F10,551
12-10-2018 17:20:08,P10,281
12-10-2018 17:20:08,P11,250
12-10-2018 17:20:08,P12,263
12-10-2018 17:20:15,F20,517
12-10-2018 17:30:01,F10,550
12-10-2018 17:30:09,P10,280
12-10-2018 17:30:09,P11,250
12-10-2018 17:30:09,P12,262
12-10-2018 17:30:16,F20,518
12-10-2018 17:40:01,F10,553
12-10-2018 17:40:08,P10,279
12-10-2018 17:40:08,P11,250
12-10-2018 17:40:08,P12,262
12-10-2018 17:40:15,F20,522
12-10-2018 17:50:01,F10,552
12-10-2018 17:50:08,P10,280
12-10-2018 17:50:08,P11,250
12-10-2018 17:50:08,P12,262
12-10-2018 17:50:15,F20,525
12-10-2018 18:00:02,F10,550
12-10-2018 18:00:09,P10,281
12-10-2018 18:00:09,P11,250
12-10-2018 18:00:09,P12,263
12-10-2018 18:00:16,F20,524
12-10-2018 18:10:01,F10,551
12-10-2018 18:10:08,P10,281
12-10-2018 18:10:08,P11,250
12-10-2018 18:10:08,P12,263
12-10-2018 18:10:15,F20,523
12-10-2018 18:20:01,F10,553
12-10-2018 18:20:08,P10,281
12-10-2018 18:20:08,P11,250
12-10-2018 18:20:08,P12,263
12-10-2018 18:20:16,F20,524
12-10-2018 18:30:01,F10,558
12-10-2018 18:30:08,P10,281
12-10-2018 18:30:08,P11,251
12-10-2018 18:30:08,P12,264
12-10-2018 18:30:15,F20,524
12-10-2018 18:40:01,F10,560
12-10-2018 18:40:08,P10,282
12-10-2018 18:40:08,P11,251
12-10-2018 18:40:08,P12,264
12-10-2018 18:40:15,F20,527
12-10-2018 18:50:01,F10,558
12-10-2018 18:50:09,P10,282
12-10-2018 18:50:09,P11,251
12-10-2018 18:50:09,P12,264
12-10-2018 18:50:16,F20,527
12-10-2018 19:00:01,F10,565
